	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC726227	1276.04729409725	-2.77000794494441	0.676329691442081	17.0191307605054	3.70050893468582e-05	0.000122373674332989
LOC726230	11052.9474440092	2.06429982247179	0.419764101716384	20.2299406948403	6.86697202061064e-06	2.58754835160366e-05
LOC726231	85339.6837143253	2.3824489982482	0.485629683682292	19.4448640193652	1.0354590448422e-05	3.77346088783968e-05
LOC726235	678.694804855172	-3.06075639453556	0.376327090588343	66.1786354199435	4.11852582817676e-16	5.64785588136795e-15
LOC726238	9282.48743490203	3.63940867581539	0.341765487438134	79.6733269070793	4.41723835271183e-19	7.83217957247649e-18
LOC726240	1502.287471886	5.97674459428872	0.364374013060866	154.425539033144	1.86953060882111e-35	1.16106660114325e-33
LOC726247	4145.89715026527	4.32853160844485	0.553394751708185	39.8053001729855	2.80582658723473e-10	1.96706353296562e-09
LOC726251	3008.9556530993	4.97142480179039	0.489827293023474	62.7620398832432	2.33251350038495e-15	2.94656817269077e-14
LOC726252	179.502047486989	3.14598536939584	0.640587703867056	18.2006036226229	1.98815812849438e-05	6.87767231644255e-05
LOC726253	56.1223931261099	2.37085985533338	0.431224786903928	26.4985359297309	2.63737919821275e-07	1.23899374452276e-06
LOC726260	367.772516984877	3.32317393126015	0.50085894130279	32.5400264432815	1.16762799124433e-08	6.62381790154962e-08
LOC726264	2454.31401895759	-2.00274131141711	0.303466649899879	45.2393611528353	1.74365173501969e-11	1.40797800413911e-10
LOC726268	14626.5379005974	3.63114568177075	0.416191424910572	53.4755490048383	2.61831448902051e-13	2.64102435958855e-12
LOC726269	3969.95371814279	2.31216790605881	0.525216250359925	15.7879852643898	7.08510027923143e-05	0.000224096294857497
LOC726276	3281.25450578576	6.43858449855818	0.539807724979268	75.0886514596269	4.50045734836545e-18	7.41450348143208e-17
LOC726284	3929.07413659164	3.32706114917987	0.534554758891862	28.1874703268977	1.10115098503742e-07	5.46292471121451e-07
LOC726288	96.7158612972985	-3.29567434345142	0.648862542789425	25.7718025084733	3.84261559373101e-07	1.7571744862312e-06
LOC726292	2213.76543927532	3.49290050781968	1.03709774483288	8.09575178951906	0.00443691307555152	0.00975906970187134
LOC726294	1834.57084759512	-3.39357970666525	0.409585358271452	67.5980187074111	2.00468916655552e-16	2.81083012927678e-15
LOC726297	5989.83735135414	2.27089346404706	0.248477218770979	68.4297799848621	1.31476970516072e-16	1.86329728107723e-15
LOC726298	1358.41306575514	2.33994309139487	0.561782108824844	14.1047925098489	0.000172902689021872	0.000510318909474359
LOC726302	1119.01893388949	3.87109822663391	0.795144418173312	16.2483382809637	5.55583013089009e-05	0.000178116910844914
LOC726309	2668.29278252522	-3.98224596356269	0.430470438774187	80.9949833372362	2.26291411066098e-19	4.12934690006214e-18
LOC726322	2544.72427132409	5.15626869593901	0.536263314717947	55.2744346706672	1.04823111146463e-13	1.11018905751728e-12
LOC726323	37061.4021937828	4.6495065142205	0.508001848858734	52.4776069563259	4.35182266509763e-13	4.24517437939047e-12
LOC726347	1139.1736346095	2.29559718748036	0.444242694059651	21.8468027754794	2.95308247276129e-06	1.17446604101834e-05
LOC726354	6485.20946217698	-2.3683390158197	0.228595975869297	110.53027183375	7.49914625549793e-26	2.34091770743991e-24
LOC726362	4492.04259067713	6.417092019421	0.766360249791008	36.6830305303071	1.38984018789803e-09	8.90669060445515e-09
LOC726370	455.863452228857	-3.22912600974356	0.502971121406817	41.2122193721187	1.36566124151273e-10	9.96890685958402e-10
LOC726371	158.896271362337	3.69102481056167	0.620075116028428	25.5803998714335	4.24327772218567e-07	1.92775796019021e-06
LOC726375	1650.07415373325	3.74705642173285	0.497182205837471	39.5604028351508	3.1806756682958e-10	2.21285482564955e-09
LOC726382	103.357443782704	-2.37898750060846	0.561989050290077	18.5319393298514	1.67080875732706e-05	5.86712062741668e-05
LOC726392	1769.59767816738	-4.12451381821932	0.331618074567197	145.918983776646	1.35223605000245e-33	7.25801992087289e-32
LOC726400	286.341473790443	-2.40859959485553	0.527737017594664	21.4701531485954	3.593790015357e-06	1.40737989970831e-05
LOC726407	6833.20948995895	2.36983630837882	0.357112008295999	35.6548673206381	2.35558595277327e-09	1.45911021262645e-08
LOC726418	5220.31441821844	2.02081416996695	0.273500628972873	45.9265370840512	1.22771561827071e-11	1.00713434743618e-10
LOC726421	6595.00991596555	4.98149948635498	0.384607464648605	101.87008346578	5.92851380226683e-24	1.58744990344219e-22
LOC726429	138.687284186678	2.12172870131463	0.532069288102063	13.4210487164876	0.000248816558922565	0.000712053563797217
LOC726441	2672.44585268067	2.45583537607846	0.483649239632042	20.6856091672005	5.41212321043615e-06	2.07292881892779e-05
LOC726447	6010.05494480748	-4.13091876429342	0.330787336330851	146.47314732851	1.02306966721696e-33	5.51620563296708e-32
LOC726450	5150.15757089705	2.18814102096281	0.331738611272465	35.942391961117	2.03238400565619e-09	1.27018646338745e-08
LOC726456	21366.5093993446	-2.09286741313234	0.186460917764697	130.608803335248	3.01542658618627e-30	1.29597790454136e-28
LOC726459	309.795626388401	3.54216516818746	0.395018540516014	59.2555260748038	1.38470935889247e-14	1.6311243709218e-13
LOC726463	936.299990589257	4.67357337227832	0.264160949730963	210.360819414878	1.14589691815779e-47	1.38700298399874e-45
LOC726468	9783.63292002203	-8.54541335879636	0.780761430727554	80.4374205183001	3.0005870926629e-19	5.41749833990371e-18
LOC726476	26401.4468335879	2.73666168393994	0.361612835554621	44.500247510717	2.5432505252683e-11	2.01658006221475e-10
LOC726481	2808.20919548038	4.22003209186	1.09486542344536	9.76826288931713	0.00177550128970454	0.00429203103698294
LOC726487	12238.5895281414	-16.3456233336859	0.993915727124951	501.516081908779	4.4473618037233e-111	7.53637224510939e-108
LOC726493	935.572351932312	3.24458705291576	0.38512456134718	52.6166757302372	4.05432107191374e-13	3.97786241150048e-12
LOC726496	1307.80987299245	-2.28755882374811	0.280237028640117	68.7213640867129	1.13405689392864e-16	1.62465976760646e-15
LOC726505	1538.26253306252	4.22633094975589	0.313300566579386	122.084209203582	2.21245195966919e-28	8.05033900171654e-27
LOC726506	5621.07882182909	-6.28081258775573	0.376246943024821	224.735132170359	8.38647097248987e-51	1.22815208241574e-48
LOC726510	4464.94632489135	-3.65149809455102	0.870203497222996	17.0276336542687	3.68397509262711e-05	0.000121996964122677
LOC726513	618.215605861948	3.49436864012878	0.320961970628452	86.8855608388497	1.14985808411489e-20	2.32757962351039e-19
LOC726528	224.154638605976	-3.15596956452475	0.427095364487597	54.6263560790009	1.45767549208864e-13	1.50880861144463e-12
